,Size,Method,Time
0,19,Deterministic,1.5534071922302246
1,19,Randomized,3.7547099590301514
2,32,Deterministic,1.572105884552002
3,32,Randomized,4.854990005493164
4,83,Deterministic,1.5289721488952637
5,83,Randomized,7.400382041931152
