	parent	child
399	root	K23051
400	root	K13115
401	root	K02810
402	root	K12135
403	root	K19515
404	root	K11910
405	root	K04759
406	root	K25578
407	root	K22132
408	root	K14792
409	root	K20670
410	root	K08047
411	root	K03200
412	root	K25105
413	root	K18997
414	root	K06486
415	root	K24963
416	root	K23238
417	root	K04272
418	root	K05447
419	root	K04487
420	root	K17752
421	root	K25210
422	root	K22981
423	root	K08949
424	root	K07047
425	root	K20742
426	root	K23193
427	root	K14408
428	root	K05471
429	root	K12915
430	root	K11627
431	root	K20991
432	root	K07530
433	root	K05132
434	root	K08743
435	root	K23282
436	root	K20462
437	root	K01385
438	root	K14182
439	root	K02207
440	root	K21034
441	root	K21575
442	root	K05995
443	root	K21257
444	root	K17107
445	root	K21971
446	root	K21591
447	root	K24334
448	root	K13806
449	root	K15644
450	root	K21013
451	root	K20503
452	root	K08174
453	root	K02624
454	root	K23534
455	root	K01902
456	root	K11648
457	root	K22206
458	root	K11271
459	root	K11901
460	root	K13840
461	root	K05405
462	root	K14482
463	root	K06287
464	root	K04188
465	root	K22667
466	root	K11582
467	root	K22776
468	root	K22614
469	root	K02397
470	root	K05717
471	root	K22397
472	root	K21542
473	root	K15535
474	root	K19001
475	root	K00467
476	root	K25681
477	root	K20499
478	root	K22855
479	root	K08538
480	root	K23849
481	root	K15734
482	root	K17302
483	root	K21755
484	root	K25573
485	root	K00082
486	root	K07262
487	root	K02209
488	root	K07615
489	root	K12714
490	root	K20516
491	root	K18463
492	root	K21199
493	root	K13346
494	root	K04183
495	root	K00345
496	root	K15109
497	root	K17198
498	root	K13622
499	root	K20496
500	root	K14281
501	root	K19910
502	root	K00688
503	root	K23470
504	root	K13207
505	root	K01807
506	root	K10214
507	root	K12537
508	root	K02296
509	root	K01409
510	root	K03500
511	root	K00386
512	root	K04978
513	root	K00323
514	root	K15546
515	root	K02252
516	root	K04423
517	root	K13342
518	root	K20546
519	root	K22568
520	root	K09841
521	root	K15014
522	root	K17236
523	root	K01083
524	root	K15360
525	root	K01295
526	root	K19601
527	root	K06720
528	root	K21018
529	root	K18157
530	root	K13931
531	root	K13315
532	root	K06067
533	root	K02193
534	root	K07829
535	root	K19542
536	root	K06454
537	root	K16815
538	root	K03713
539	root	K24008
540	root	K03425
541	root	K09290
542	root	K24141
543	root	K03108
544	root	K15205
545	root	K09593
546	root	K24354
547	root	K19294
548	root	K20457
549	root	K24716
550	root	K10067
551	root	K15323
552	root	K19683
553	root	K10478
554	root	K11536
555	root	K20288
556	root	K02568
557	root	K25195
558	root	K07788
559	root	K22450
560	root	K08284
561	root	K20845
562	root	K16310
563	root	K25606
564	root	K19982
565	root	K12193
566	root	K06997
567	root	K16362
568	root	K00910
569	root	K12303
570	root	K03052
571	root	K02804
572	root	K18040
573	root	K08269
574	root	K14326
575	root	K07388
576	root	K11372
577	root	K24101
578	root	K05467
579	root	K14677
580	root	K25250
581	root	K17879
582	root	K07194
583	root	K15639
584	root	K01049
585	root	K14892
586	root	K06440
587	root	K02042
588	root	K11106
589	root	K00948
590	root	K13826
591	root	K21140
592	root	K21913
593	root	K11156
594	root	K22688
595	root	K17936
596	root	K18378
597	root	K20089
598	root	K10776
599	root	K19318
600	root	K12826
601	root	K22377
602	root	K19891
603	root	K05269
604	root	K11178
605	root	K06317
606	root	K07337
607	root	K23158
608	root	K07594
609	root	K10784
610	root	K10152
611	root	K01661
612	root	K10099
613	root	K23841
614	root	K17834
615	root	K08222
616	root	K22847
617	root	K04162
618	root	K12134
619	root	K05266
620	root	K17165
621	root	K18125
622	root	K09606
623	root	K20487
624	root	K25008
625	root	K12088
626	root	K07381
627	root	K22165
628	root	K07748
629	root	K09256
630	root	K08478
631	root	K25836
632	root	K14973
633	root	K13288
634	root	K11082
635	root	K19647
636	root	K20637
637	root	K24694
638	root	K02908
639	root	K15603
640	root	K24412
641	root	K21284
642	root	K07935
643	root	K16068
644	root	K15220
645	root	K13877
646	root	K21215
647	root	K11776
648	root	K12451
649	root	K24435
650	root	K19119
651	root	K02840
652	root	K22986
653	root	K06557
654	root	K19256
655	root	K16330
656	root	K22031
657	root	K07161
658	root	K07164
659	root	K07989
660	root	K08371
661	root	K19207
662	root	K09809
663	root	K09913
664	root	K16468
665	root	K04032
666	root	K20061
667	root	K20934
668	root	K13693
669	root	K12364
670	root	K18811
671	root	K13824
672	root	K19804
673	root	K25959
674	root	K13703
675	root	K16188
676	root	K11359
677	root	K18948
678	root	K07995
679	root	K14005
680	root	K17228
681	root	K01919
682	root	K24548
683	root	K18371
684	root	K05110
685	root	K16222
686	root	K24102
687	root	K01707
688	root	K22613
689	root	K00163
690	root	K18278
691	root	K06666
692	root	K04101
693	root	K10580
694	root	K02420
695	root	K09198
